"@timestamp","host.hostname","event.action","event.module","file.owner","file.path","file.size","file.type","process.args"
"Oct 26, 2022 @ 01:35:43.607",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/51.r4ns0mE.r4ns0mE","1,249",file,"-"
"Oct 26, 2022 @ 01:35:43.605",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/65.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.602",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/65.r4ns0mE.r4ns0mE","1,543",file,"-"
"Oct 26, 2022 @ 01:35:43.601",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/40.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.598",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/40.r4ns0mE.r4ns0mE","1,294",file,"-"
"Oct 26, 2022 @ 01:35:43.597",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/132.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.594",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/132.r4ns0mE.r4ns0mE","1,176",file,"-"
"Oct 26, 2022 @ 01:35:43.593",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/49.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.590",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/49.r4ns0mE.r4ns0mE","1,259",file,"-"
"Oct 26, 2022 @ 01:35:43.588",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/50.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.586",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/50.r4ns0mE.r4ns0mE","1,358",file,"-"
"Oct 26, 2022 @ 01:35:43.584",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/15.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.580",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/15.r4ns0mE.r4ns0mE","1,395",file,"-"
"Oct 26, 2022 @ 01:35:43.578",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/21.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.575",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/21.r4ns0mE.r4ns0mE","1,461",file,"-"
"Oct 26, 2022 @ 01:35:43.574",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/94.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.570",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/94.r4ns0mE.r4ns0mE",903,file,"-"
"Oct 26, 2022 @ 01:35:43.569",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/45.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.566",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/45.r4ns0mE.r4ns0mE","1,230",file,"-"
"Oct 26, 2022 @ 01:35:43.564",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/118.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.561",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/118.r4ns0mE.r4ns0mE","1,226",file,"-"
"Oct 26, 2022 @ 01:35:43.560",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/74.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.556",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/74.r4ns0mE.r4ns0mE",985,file,"-"
"Oct 26, 2022 @ 01:35:43.554",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/1.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.551",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/1.r4ns0mE.r4ns0mE","1,341",file,"-"
"Oct 26, 2022 @ 01:35:43.550",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/16.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.547",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/16.r4ns0mE.r4ns0mE","1,312",file,"-"
"Oct 26, 2022 @ 01:35:43.546",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/28.r4ns0mE","-","-","-"
