"@timestamp","file.type","file.path","event.type","file.mode","file.owner","file.extension"
"Oct 25, 2022 @ 00:05:41.071",file,"/home/resch/.scripts/encrypt.py.1",creation,0644,resch,1
"Oct 25, 2022 @ 00:05:40.653",file,"/home/resch/.scripts/requirements.txt",creation,0644,resch,txt
"Oct 25, 2022 @ 00:05:38.105",file,"/home/resch/.scripts/attack_chain.sh",creation,0755,resch,sh
"Oct 25, 2022 @ 00:05:37.843",file,"/home/resch/.scripts/encrypt.py",creation,0755,resch,py
"Oct 25, 2022 @ 00:05:37.503",file,"/home/resch/.scripts/check.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:05:37.028",file,"/home/resch/.scripts/exfiltration_target.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:05:36.808",file,"/home/resch/.scripts/collectiontarget.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:05:36.335",file,"/home/resch/.scripts/file_and_dir_discovery-stripped.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:05:35.273",file,"/home/resch/.scripts/file_and_dir_discovery.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:05:34.943",file,"/home/resch/.scripts/persistence2.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:05:34.584",file,"/home/resch/.scripts/persistence1.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:05:34.232",file,"/home/resch/.scripts/PEexploit.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:05:26.492",file,"/home/resch/.wget-hsts",creation,0644,resch,"wget-hsts"
"Oct 25, 2022 @ 00:05:26.346",file,"/home/resch/import_Scripts_and_PE.sh",creation,0644,resch,sh
"Oct 24, 2022 @ 23:24:52.156",file,"/home/resch/.scripts/encrypt.py.3",creation,0644,resch,3
"Oct 24, 2022 @ 23:24:52.024",file,"/home/resch/.scripts/requirements.txt.1",creation,0644,resch,1
"Oct 24, 2022 @ 23:24:41.452",file,"/home/resch/.scripts/attack_chain.sh.1",creation,0755,resch,1
"Oct 24, 2022 @ 23:24:41.061",file,"/home/resch/.scripts/encrypt.py.2",creation,0755,resch,2
"Oct 24, 2022 @ 23:24:40.879",file,"/home/resch/.scripts/check.sh.1",creation,0755,resch,1
"Oct 24, 2022 @ 23:24:40.664",file,"/home/resch/.scripts/exfiltration_target.sh.1",creation,0755,resch,1
"Oct 24, 2022 @ 23:24:40.554",file,"/home/resch/.scripts/collectiontarget.sh.1",creation,0755,resch,1
"Oct 24, 2022 @ 23:24:40.368",file,"/home/resch/.scripts/file_and_dir_discovery-stripped.sh.1",creation,0755,resch,1
"Oct 24, 2022 @ 23:24:40.235",file,"/home/resch/.scripts/file_and_dir_discovery.sh.1",creation,0755,resch,1
"Oct 24, 2022 @ 23:24:40.103",file,"/home/resch/.scripts/persistence2.sh.1",creation,0755,resch,1
"Oct 24, 2022 @ 23:24:39.928",file,"/home/resch/.scripts/persistence1.sh.1",creation,0755,resch,1
"Oct 24, 2022 @ 23:24:39.180",file,"/home/resch/.scripts/PEexploit.sh.1",creation,0755,resch,1
"Oct 24, 2022 @ 23:14:00.204",file,"/home/resch/.scripts/CVE-2021-3156/exploit",creation,0755,resch,"-"
"Oct 24, 2022 @ 23:14:00.144",file,"/home/resch/.scripts/CVE-2021-3156/libnss_x/x.so.2",creation,0755,resch,2
"Oct 24, 2022 @ 23:13:59.929",file,"/home/resch/.scripts/CVE-2021-3156/.git/index",creation,0644,resch,"-"
"Oct 24, 2022 @ 23:13:59.429",file,"/home/resch/.scripts/CVE-2021-3156/shellcode.c",creation,0644,resch,c
"Oct 24, 2022 @ 23:13:59.247",file,"/home/resch/.scripts/CVE-2021-3156/exploit.c",creation,0644,resch,c
"Oct 24, 2022 @ 23:13:58.998",file,"/home/resch/.scripts/CVE-2021-3156/README.md",creation,0644,resch,md
"Oct 24, 2022 @ 23:13:58.702",file,"/home/resch/.scripts/CVE-2021-3156/Makefile",creation,0644,resch,"-"
