@timestamp,error.message,event.module,event.type,file.ctime,file.extension,file.gid,file.owner,file.path,file.size,file.type,host.ip,
"Oct 25, 2022 @ 01:53:13.475",moved,change,-,-,-,-,/home/resch/destination/.systemd-cgls.A9lFgv,/home/resch/destination/.systemd-cgls.A9lFgv,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.473",created,creation,"Oct 25, 2022 @ 01:53:13.445",-,0,root,/home/resch/destination/ssh-import-id,/home/resch/destination/ssh-import-id,"1,771",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.471",moved,change,-,-,-,-,/home/resch/destination/.ssh-import-id.mHmX8v,/home/resch/destination/.ssh-import-id.mHmX8v,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.469",created,creation,"Oct 25, 2022 @ 01:53:13.445",-,0,root,/home/resch/destination/update-mime-database,/home/resch/destination/update-mime-database,"51,392",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.468",moved,change,-,-,-,-,/home/resch/destination/.update-mime-database.YxPxRv,/home/resch/destination/.update-mime-database.YxPxRv,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.465",created,creation,"Oct 25, 2022 @ 01:53:13.435",-,0,root,/home/resch/destination/py3compile,/home/resch/destination/py3compile,"12,119",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.463",moved,change,-,-,-,-,/home/resch/destination/.py3compile.xW3QWr,/home/resch/destination/.py3compile.xW3QWr,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.461",created,creation,"Oct 25, 2022 @ 01:53:13.435",-,0,root,/home/resch/destination/dbus-monitor,/home/resch/destination/dbus-monitor,"22,520",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.459",moved,change,-,-,-,-,/home/resch/destination/.dbus-monitor.IYG2Os,/home/resch/destination/.dbus-monitor.IYG2Os,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.456",created,creation,"Oct 25, 2022 @ 01:53:13.435",-,0,root,/home/resch/destination/dbus-uuidgen,/home/resch/destination/dbus-uuidgen,"10,224",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.454",moved,change,-,-,-,-,/home/resch/destination/.dbus-uuidgen.HyBBvs,/home/resch/destination/.dbus-uuidgen.HyBBvs,-,-,"172.17.0.3, 172.18.0.2",
